flower_id,surface,occasion_ko,source_note
tulip-white,,다툰 다음 날 아침에,design-spec §1.5h 표 그대로
tulip-white,,새 출발을 앞둔 사람에게,design-spec §1.5h 표 그대로
tulip-white,,오래 미룬 사과를 전할 때,design-spec §1.5h 표 그대로
lily-asiatic,,새로 시작하는 자리에(결혼·개업),design-spec §1.5h 표 그대로
lily-asiatic,,오래 존경한 분께,design-spec §1.5h 표 그대로
freesia,,첫 출근을 축하할 때,design-spec §1.5h 표 그대로
freesia,,고마운 친구에게 가볍게,design-spec §1.5h 표 그대로
anemone,,오래 기다린 마음을 전할 때,design-spec §1.5h 표 그대로
anemone,,먼저 떠난 이를 기억하는 날에,design-spec §1.5h 표 그대로
hellebore,,위로가 필요한 겨울에,design-spec §1.5h 표 그대로
hellebore,,말없이 곁을 지키고 싶을 때,design-spec §1.5h 표 그대로
rose-red,detail,마음을 처음 꺼내는 날에,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
rose-red,detail,함께 지나온 날을 세는 자리에,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
rose-red,landing,오래 미뤄 둔 고백을 할 때,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
rose-red,landing,처음 만난 날을 함께 세는 자리에,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
gerbera,detail,기운을 북돋아 주고 싶을 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
gerbera,detail,가볍게 축하하고 싶은 날에,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
gerbera,landing,새 자리로 옮기는 동료에게,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
gerbera,landing,기운을 북돋아 주고 싶은 날에,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
hyacinth,detail,봄을 먼저 건네고 싶을 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
hyacinth,detail,오래 기억되길 바라는 자리에,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
hyacinth,landing,봄이 왔다고 먼저 알리고 싶을 때,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
hyacinth,landing,조용히 애도를 건네는 자리에,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
peony,detail,크게 축하할 일이 생겼을 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
peony,detail,초여름의 짧은 계절을 선물할 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
peony,landing,귀한 자리를 크게 축하할 때,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
peony,landing,수줍은 마음을 대신 전할 때,랜딩 문구 — rules.csv intent 태그와 meanings/stories 의 결에 맞춰 씀
hydrangea,detail,집들이에 한 아름 들고 갈 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
hydrangea,detail,장마 끝의 안부를 물을 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
hydrangea,landing,비 오는 날 안부를 물을 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
hydrangea,landing,오래 함께한 가족에게,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
lavender,detail,잠 못 드는 사람에게,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
lavender,detail,먼 길을 떠나는 이를 배웅할 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
lavender,landing,잠 못 드는 사람에게,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
lavender,landing,잠깐 쉬어 가라고 말하고 싶을 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
sunflower,detail,기운을 크게 북돋고 싶을 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
sunflower,detail,한여름의 응원을 보낼 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
sunflower,landing,기운이 필요한 사람에게,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
sunflower,landing,멀리서 응원을 보낼 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
carnation,detail,부모님께 마음을 전할 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
carnation,detail,오래 돌봐 주신 분께,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
carnation,landing,부모님께 감사를 전할 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
carnation,landing,가르쳐 준 분께 인사드릴 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
lisianthus,detail,격식이 필요한 자리에,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
lisianthus,detail,차분한 축하를 건넬 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
lisianthus,landing,흰 튤립을 구하기 어려운 계절에,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
lisianthus,landing,차분한 축하가 필요한 자리에,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
ranunculus,detail,봄에 마음을 고백할 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
ranunculus,detail,작지만 화사한 선물을 하고 싶을 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
ranunculus,landing,봄맞이 인사를 건넬 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
ranunculus,landing,화사한 축하가 필요한 날에,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
lily-of-the-valley,detail,다시 찾아온 행복을 축하할 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
lily-of-the-valley,detail,오월의 인사를 건넬 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
lily-of-the-valley,landing,"5월의 첫날, 행운을 빌어 줄 때",랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
lily-of-the-valley,landing,오래 기다린 소식을 축하할 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
chrysanthemum,detail,먼저 떠난 이를 기억하는 날에,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
chrysanthemum,detail,가을의 안부를 물을 때,결과·도감 문구 — 이관 전 labels.ts 하드코딩. 편집 검수 대상
chrysanthemum,landing,고인을 기억하는 자리에,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
chrysanthemum,landing,어른께 절기 인사를 드릴 때,랜딩 문구 — 카탈로그 확장분(seed-v3). 편집 검수 대상
daisy,landing,괜찮냐고 묻고 싶은 날에,랜딩 문구 — 카탈로그 확장분(seed-v5). 꽃말에서 왔다
daisy,landing,같은 편이라고 말해주고 싶을 때,랜딩 문구 — 카탈로그 확장분(seed-v5). 꽃말에서 왔다
sweet-pea,landing,졸업하는 사람에게,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
sweet-pea,landing,떠나는 이를 웃으며 배웅할 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
gladiolus,landing,오래 준비한 시험이 끝난 날에,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
gladiolus,landing,큰 무대를 마치고 내려온 사람에게,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
dahlia,landing,한껏 차려입은 자리에,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
dahlia,landing,오래 기억될 축하를 하고 싶을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
zinnia,landing,멀리 있는 친구를 떠올릴 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
zinnia,landing,오래된 사이라고 말하고 싶을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
aster,landing,믿고 있다고 말해주고 싶을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
aster,landing,가을 초입의 안부를 물을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
calendula,landing,아쉬운 이별을 담담히 건널 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
calendula,landing,달이 바뀌는 첫날에 안부를 물을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
cyclamen,landing,말수 적은 사람에게,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
cyclamen,landing,겨울 창가에 둘 화분을 고를 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
geranium,landing,오래된 친구에게 고맙다고 말할 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
geranium,landing,새집 창가를 밝혀 주고 싶을 때,랜딩 문구 — 확장 배치 1(2026-08-16 seed-v6). meanings.csv 꽃말에서만 끌어옴
