template_id,relationship_type,intent,tone,length,required_apology_elements,template_text,reviewed_at
tpl-apology-plain,lover,apology,plain,short,acknowledgement|responsibility,"늦었지만 제대로 말하고 싶어요. 지난번 일은 제 잘못이었고, 그 자리에서 제 사정부터 앞세운 것도 제 잘못이었어요. 변명 없이 사과드리고, 다음에는 먼저 듣겠습니다.",2026-08-18
tpl-apology-romantic,,apology,romantic,short,acknowledgement|responsibility|repair,"그날 기다리면서 얼마나 서운했을지 자꾸 생각했어요. 제 사정을 앞세우느라 그 마음을 뒤로 미룬 게 잘못이었어요. 미안하다는 말로 덮지 않고, 다음에는 먼저 챙길게요.",2026-08-16
tpl-apology-sincere,lover,apology,sincere,short,acknowledgement|responsibility|repair|promise,그날 제 말이 얼마나 아팠을지 뒤늦게 알았습니다. 상황을 핑계 삼지 않고 제 잘못으로 받아들입니다. 같은 일이 되풀이되지 않도록 먼저 듣겠습니다.,2026-08-14
tpl-confession-plain,,confession,plain,short,,"오래 마음에만 담아 두다 이제야 말해요. 좋아하는 마음이 자꾸 커져서 더는 숨기기가 어려웠어요. 답은 천천히 줘도 괜찮으니, 제 마음이 이렇다는 것만 먼저 알아주면 좋겠어요.",2026-08-16
tpl-confession-romantic,,confession,romantic,short,,"좋아한다는 말보다 먼저, 이 말을 듣는 마음이 어떨지를 오래 생각했어요. 부담이 될까 봐 몇 번을 삼켰는데 그래도 전하고 싶었어요. 지금 그대로도 충분하니 마음만 편히 받아 주면 좋겠어요.",2026-08-16
tpl-confession-sincere,,confession,sincere,short,,"가볍게 꺼내는 말이 아니에요. 마음이 생긴 날부터 지금까지 여러 번 접었다 다시 폈어요. 그 시간을 다 지나고도 남은 마음이라, 이제는 숨기지 않고 솔직하게 말하고 싶어요. 좋아해요.",2026-08-16
tpl-confession-playful,,confession,playful,short,,"이 말을 하려고 며칠을 연습했는데 막상 하려니 하나도 안 떠올라요. 그래서 그냥 제일 짧은 걸로 갈게요. 좋아해요. 놀랐다면 미안하고, 웃어 줬다면 그걸로 다행이에요.",2026-08-16
tpl-gratitude-plain,,gratitude,plain,short,,고맙다는 말을 너무 오래 미뤄 뒀어요. 당연한 것처럼 받기만 했다는 걸 뒤늦게 알았어요. 늦었지만 지금이라도 제대로 말하고 싶어서 이렇게 적어요. 그동안 정말 고마웠어요.,2026-08-16
tpl-gratitude-romantic,,gratitude,romantic,short,,고맙다고 하면 늘 별일 아니라고 하던 게 오래 마음에 남았어요. 대수롭지 않은 척 건네 준 것들이 저에게는 하나도 작지 않았어요. 그 마음 덕분에 지나온 날이 참 많아요.,2026-08-16
tpl-gratitude-sincere,,gratitude,sincere,short,,"고마운 일이 많았는데 그때그때 말하지 못했어요. 힘들 때 곁에 있어 준 일도, 아무 말 없이 기다려 준 일도 다 기억하고 있어요. 그 마음에 오래 기대어 왔다는 걸 잊지 않을게요.",2026-08-16
tpl-gratitude-playful,,gratitude,playful,short,,고맙다는 말을 하려니 괜히 쑥스러워서 자꾸 미뤘어요. 그래서 오늘은 말보다 마음을 먼저 보내요. 그동안 받은 게 너무 많아서 다 갚으려면 한참 걸릴 것 같아요. 천천히 갚을게요.,2026-08-16
tpl-celebration-plain,,celebration,plain,short,,"정말 축하해요. 오늘 이 소식이 오기까지 얼마나 애썼는지 옆에서 봐 왔어요. 그래서 더 반갑고 기뻐요. 오늘만큼은 마음껏 기뻐하고, 푹 쉬는 하루가 되면 좋겠어요.",2026-08-16
tpl-celebration-romantic,,celebration,romantic,short,,"오늘의 기쁨보다 그 앞의 시간이 먼저 떠올랐어요. 혼자 견뎌 낸 날이 많았을 텐데, 그걸 다 지나 여기까지 온 게 대견하고 고마워요. 오늘은 마음 놓고 기뻐했으면 좋겠어요.",2026-08-16
tpl-celebration-sincere,,celebration,sincere,short,,"진심으로 축하해요. 결과보다 그 결과에 닿기까지 버텨 온 시간을 먼저 축하하고 싶어요. 조용히 쌓아 온 노력이 어떤 모습이었는지 알기에, 오늘이 더 귀하게 느껴져요.",2026-08-16
tpl-celebration-playful,,celebration,playful,short,,"축하해요! 소식 듣고 저 혼자 더 신나서 하루 종일 들떠 있었어요. 자랑은 마음껏 해도 좋아요, 제가 제일 크게 들어 줄게요. 오늘은 좋은 것만 생각하는 하루로 보내요.",2026-08-16
tpl-comfort-plain,,comfort,plain,short,,"무슨 말을 해야 할지 몰라서 한참 망설였어요. 얼른 괜찮아지라는 말 대신, 지금은 그냥 곁에 있을게요. 힘들면 힘들다고 말해도 괜찮아요. 언제든 들을 준비가 되어 있어요.",2026-08-16
tpl-comfort-romantic,,comfort,romantic,short,,괜찮냐고 묻는 말이 오히려 힘들 것 같아서 한참 망설였어요. 지금은 아무 대답도 하지 않아도 괜찮아요. 마음이 조금 가벼워질 때까지 그저 곁에서 기다리고 있을게요.,2026-08-16
tpl-comfort-sincere,,comfort,sincere,short,,"지금 겪고 있는 일을 제가 다 안다고 말하지는 않을게요. 다만 혼자 견디지는 않았으면 해요. 기운 내라는 말보다, 기운이 없어도 괜찮다는 말을 먼저 하고 싶었어요.",2026-08-16
tpl-comfort-playful,,comfort,playful,short,,"위로를 잘 못해서 무슨 말을 할까 한참 고민했어요. 결론은 이거예요. 오늘은 아무것도 안 해도 괜찮아요. 맛있는 거 먹고 실컷 자고, 나머지는 내일로 미뤄 두기로 해요.",2026-08-16
tpl-anniversary-plain,,anniversary,plain,short,,"오늘이 그날이네요. 지나온 시간을 세어 보니 생각보다 많은 날을 함께 지나왔어요. 특별한 말은 못 하지만, 그 시간이 저에게 얼마나 좋았는지는 꼭 말하고 싶었어요.",2026-08-16
tpl-anniversary-romantic,,anniversary,romantic,short,,오늘을 세어 보다가 지나온 계절이 하나씩 떠올랐어요. 좋았던 날보다 조용히 곁을 지켜 준 날들이 더 오래 남더라고요. 그 시간을 앞으로도 천천히 함께 쌓아 가고 싶어요.,2026-08-16
tpl-anniversary-sincere,,anniversary,sincere,short,,"함께 지나온 날들을 하나씩 떠올려 봤어요. 좋았던 날도, 서로 애썼던 날도 다 지금의 우리를 만든 시간이었어요. 앞으로의 날도 그렇게 천천히 함께 쌓아 가고 싶어요.",2026-08-16
