story_id,flower_id,title,story_ko,culture_region,era,source_title,source_url,confidence_level,story_type,reviewed_at,editorial_note,moods,intents,hook,source_kind
story-tulip-ottoman,tulip-white,오스만 궁정이 사랑한 꽃,"튤립은 오스만 제국 궁정에서 각별한 대접을 받은 꽃이에요. 튀르키예어로 튤립을 뜻하는 '랄레'는 아랍 문자로 적으면 '알라'와 같은 글자로 이뤄져 있어서, 튤립이 신성한 상징으로 여겨졌다고 전해져요. 궁전의 타일과 직물, 도자기 문양에 널리 쓰였고 지상의 낙원을 보여 주는 꽃으로 통했어요. 영어 이름 tulip 역시 꽃 모양이 터번을 닮았다 하여 튈벤트에서 왔다는 설이 유력하지만, 헝가리어 툴리판에서 왔다는 반론도 함께 있어요.",turkey,ottoman,Wikipedia — Tulip,https://en.wikipedia.org/wiki/Tulip,varies,history,2026-08-14,seed-sample: 상징은 널리 기록됐으나 어원은 학설이 갈려 varies,mythic,,튀르키예어로 튤립을 뜻하는 '랄레'는 아랍 문자로 적으면 '알라'와 같은 글자가 돼요.,wiki
story-tulip-mania,tulip-white,1637년 네덜란드의 튤립 광풍,"17세기 네덜란드에는 튤립 구근 값이 치솟은 이른바 튤립 마니아가 있었어요. 값은 1636~1637년 겨울에 정점을 찍었고, 가장 인기 있던 셈페르 아우구스투스는 숙련공의 한 해 수입을 몇 배나 웃도는 값에 거래됐다고 전해져요. 1637년 2월 하를럼의 한 경매에서 살 사람이 나타나지 않으면서 시세는 급격히 무너졌어요. 다만 최근 연구는 실제 피해가 일부 상인 집단에 머물렀다고 보아, 나라가 통째로 흔들렸다는 이야기는 후대의 과장이라는 해석이 유력해요.",netherlands,17c,Wikipedia — Tulip mania,https://en.wikipedia.org/wiki/Tulip_mania,repeated,history,2026-08-14,seed-sample: 검토 전 샘플 데이터,dramatic|funny,just_because,알뿌리 하나가 집 한 채 값이던 시절이 있었어요.,wiki
story-rose-aphrodite,rose-red,장미를 붉게 물들인 아프로디테,"고대 그리스에서 장미는 사랑의 여신 아프로디테와 짝지어진 꽃이었어요. 파우사니아스는 여신이 장미 가시에 찔려 흘린 피가 꽃을 붉게 물들였다고 적었어요. 호메로스의 일리아스에는 여신이 장미 기름으로 헥토르의 시신을 지켰다는 대목도 나와요. 로마로 건너가서는 같은 자리를 베누스가 이어받았고, 그래서 붉은 장미가 사랑을 뜻하게 됐다는 이야기가 오래 전해져 왔어요.",greece-rome,ancient,Wikipedia — Rose,https://en.wikipedia.org/wiki/Rose,repeated,folklore,2026-08-14,seed-sample: 검토 전 샘플 데이터,romantic|mythic,confession|anniversary,붉은 장미의 빛깔은 여신이 가시에 찔려 흘린 피에서 왔다고 전해져요.,wiki
story-lily-annunciation,lily-asiatic,수태고지 그림 속의 흰 백합,"흰 백합은 서양 교회 미술에서 정결의 상징으로 쓰여 왔어요. 중세의 수태고지 그림에는 대천사 가브리엘이 마리아에게 흰 백합을 건네는 장면이 거듭 등장해요. 가톨릭과 일부 정교회의 도상에서 흰 백합이 순결을 뜻하게 되면서 마돈나 릴리라는 이름까지 붙었어요. 다만 이 이야기의 주인공은 흰 마돈나 백합이라, 여기서 추천하는 아시아틱 백합과는 종이 다르다는 점은 함께 알아 두시면 좋아요.",western,medieval,Wikipedia — Lilium candidum,https://en.wikipedia.org/wiki/Lilium_candidum,repeated,history,2026-08-14,"seed-sample: 마돈나 백합(Lilium candidum) 이야기로, 아시아틱 백합과는 종이 다름",mythic,,수태고지를 그린 중세 그림에는 늘 흰 백합 한 송이가 놓여 있어요.,wiki
story-freesia-name,freesia,이름에 남은 우정 이야기,"프리지아라는 이름은 독일 의사 프리드리히 하인리히 테오도어 프리제에서 왔어요. 1866년 식물학자 크리스티안 프리드리히 에클론이 그를 기려 속명을 붙였다고 기록돼 있어요. 여기서 두 사람의 우정 때문에 프리지아의 꽃말이 신뢰와 우정이 됐다는 이야기가 널리 퍼졌지만, 빅토리아 시대 꽃말 목록에서 프리지아 항목을 확인하기는 어려워요. 이름의 유래는 분명하되 꽃말의 유래는 뒷받침할 자료를 찾지 못한 이야기로 받아들여 주세요.",western,19c,Wikipedia — Freesia,https://en.wikipedia.org/wiki/Freesia,single_source,history,2026-08-14,seed-sample: 꽃말 유래는 근거를 찾지 못해 single_source,healing,gratitude|just_because,꽃 이름 하나가 두 사람의 우정에서 시작됐어요.,wiki
story-rose-sub-rosa,rose-red,천장에 장미가 걸린 방,"큐피드가 침묵의 신 하르포크라테스에게 장미 한 송이를 건넸다고 해요. 어머니 비너스의 연애를 발설하지 말아 달라는 뇌물이었죠. 그래서 로마 사람들은 연회장 천장에 장미를 새겼어요. 이 방에서 오간 말은 밖으로 나가지 않는다는 약속이었고, 훗날 교회는 같은 이유로 고해소에 장미를 새겼어요.",rome,ancient-medieval,Sub rosa (Wikipedia),https://en.wikipedia.org/wiki/Sub_rosa,repeated,folklore,2026-08-14,seed-sample: story-research 2026-08-14 적재,mythic|dramatic,,"신들의 세계에서 장미는 ""입 다물어""라는 뜻이었습니다",wiki
story-rose-rosalia,rose-red,죽은 이에게 장미를 보내던 사람들,"로마에는 로살리아라는 날이 있었어요. 5월과 6월, 사람들은 무덤에 장미 화관을 얹으러 갔어요. 유언장에 ""해마다 내 무덤에 장미를 놓아 달라""며 그 비용까지 따로 남긴 사람들의 기록이 지금도 남아 있어요. 군대도 이날은 군기에 장미를 감았어요. 기억해 주는 일에 값을 매겨 미리 치러 둔 마음이, 이천 년이 지나도 읽혀요.",rome,ancient,Rosalia (festival) (Wikipedia),https://en.wikipedia.org/wiki/Rosalia_(festival),repeated,history,2026-08-14,seed-sample: story-research 2026-08-14 적재,healing|tragic|mythic,comfort,"유언장에 ""내 무덤에 장미값""을 적어둔 로마인들",wiki
story-rose-heliogabalus,rose-red,꽃잎에 파묻힌 만찬,"로마 황제 헬리오가발루스가 연회 도중 천장을 뒤집어 꽃잎을 쏟아부었다는 이야기가 전해져요. 손님들이 꽃 속에서 헤어나오지 못했다고요. 다만 이 기록을 남긴 『아우구스투스 역사』는 후대에 지어낸 대목이 많은 책이라, 학자들은 대체로 지어낸 이야기로 봐요. 그래도 이 장면은 1888년 알마타데마의 그림으로 남아, 사치의 대명사가 되었어요.",rome,3c,Elagabalus (Wikipedia),https://en.wikipedia.org/wiki/Elagabalus,single_source,folklore,2026-08-14,seed-sample: 출전 『아우구스투스 역사』는 후대 창작이 많은 문헌 — 실존 황제의 명예를 고려해 지어낸 이야기로 보는 시각을 본문에 명시,dramatic|funny,just_because,꽃잎에 깔려 죽은 손님들이라는 소문의 진실,wiki
story-rose-cleopatra-carpet,rose-red,무릎까지 차오른 장미,"클레오파트라가 안토니우스를 맞으며 바닥이 무릎에 닿도록 장미 꽃잎을 깔았다는 이야기가 전해져요. 꽃잎이 흩어지지 않게 고운 그물로 눌러 두었다고까지 하죠. 1차 사료로는 확인되지 않는 전설에 가깝지만, 로마인들이 겨울에 이집트에서 장미를 배로 실어 오던 건 세네카가 혀를 차며 남긴 실제 기록이에요. 그만큼 장미는 그 시절에도 ""여기까지 했다""는 선언이었어요.",egypt-rome,1c-bc,The Empire of Petals: Rome and Roses (RosaPedia),https://rosapedia.com/the-empire-of-petals-rome-and-roses/,single_source,folklore,2026-08-14,"seed-sample: 1차 사료 미확인 전설 — 본문의 ""전해집니다"" 톤을 그대로 유지할 것",romantic|dramatic,confession|anniversary,겨울에 배로 장미를 실어 나른 사람들,wiki
story-rose-josephine-blockade,rose-red,전쟁 중에도 장미는 통과시켰다,"나폴레옹의 아내 조제핀은 말메종 정원에 세계에서 가장 큰 장미 컬렉션을 만들었어요. 250여 품종이었죠. 프랑스와 영국이 한창 전쟁 중이던 시기에도, 영국 케네디 앤 리 종묘장에서 보낸 장미 상자는 해군 봉쇄를 통과할 수 있었다고 해요. 총알은 막았지만 장미는 막지 않았던 거예요.",france-uk,19c,Josephine and Her Rose Garden (History of American Women),https://www.womenhistoryblog.com/2020/06/joesphine-and-her-rose-garden.html,varies,history,2026-08-14,seed-sample: story-research 2026-08-14 적재,romantic|dramatic|funny,gratitude|just_because,나폴레옹 전쟁 중에도 봉쇄를 통과한 화물이 있었습니다,magazine
story-rose-nightingale,rose-red,장미를 향해 우는 새,"페르시아 시에서 나이팅게일은 장미를 사랑해요. 장미는 대답하지 않고, 새는 밤새 울어요. 하피즈의 가잘에서는 장미의 아름다움이 새의 노래를 끌어내는 것으로 그려졌고, 수피 시인들에게 이 짝사랑은 인간이 신을 향해 부르는 노래로도 읽혔어요. 답이 오지 않아도 계속 부르는 마음이 있어요.",persia,medieval,Rose symbolism (Wikipedia),https://en.wikipedia.org/wiki/Rose_symbolism,repeated,literary,2026-08-14,seed-sample: story-research 2026-08-14 적재,romantic|tragic|mythic,confession,천 년째 답장을 못 받고 있는 새가 있습니다,wiki
story-rose-attar-dawn,rose-red,해 뜨기 전에만 따는 꽃,장미 오일은 해가 뜨기 전 손으로 딴 꽃을 그날 안에 증류해야 나와요. 향이 햇빛에 날아가 버리거든요. 수율은 대략 3천 대 1. 불가리아 카잔루크 장미 골짜기에서는 지금도 새벽마다 이 일이 반복돼요. 향수 한 방울 뒤에 새벽 몇 시의 손이 있는 셈이에요.,persia-bulgaria,ancient-modern,Rose oil (Wikipedia),https://en.wikipedia.org/wiki/Rose_oil,repeated,history,2026-08-14,seed-sample: story-research 2026-08-14 적재,healing|romantic,gratitude|just_because,향수 한 방울에 장미 몇 송이가 들어갈까요,wiki
story-tulip-sailor-onion,tulip-white,양파인 줄 알고 먹었습니다,"어느 선원이 상인의 물건 사이에서 양파처럼 생긴 걸 집어 아침으로 먹었다는 이야기가 전해져요. 하필 그게 당시 가장 비싼 튤립 구근 셈페르 아우구스투스였죠. 상인이 쫓아가 붙잡았을 때, 선원은 배 한 척 선원 전원의 일 년 식비에 맞먹는 아침을 다 먹은 뒤였다고 해요. 사실 튤립 구근은 맛이 없고 잘못 먹으면 탈이 나기 때문에, 학자들은 이 장면을 후대의 각색으로 봐요.",netherlands,17c,Tulip mania (Wikipedia),https://en.wikipedia.org/wiki/Tulip_mania,single_source,folklore,2026-08-14,seed-sample: story-research 2026-08-14 적재,funny|dramatic,just_because,역사상 가장 비싼 아침식사 이야기,wiki
story-tulip-viceroy-basket,tulip-white,구근 하나의 가격표,"1637년경 바이스로이라는 튤립 구근 하나와 맞바꾼 물건 목록이 남아 있어요. 밀 두 라스트, 살진 황소 네 마리, 살진 돼지 여덟 마리, 포도주와 맥주, 버터와 치즈, 침대 하나, 옷 한 벌, 그리고 은잔 하나. 합쳐서 2,500길더어치였어요. 꽃 한 뿌리에 살림 한 채가 들어간 거예요.",netherlands,17c,Tulip mania (Wikipedia),https://en.wikipedia.org/wiki/Tulip_mania,repeated,history,2026-08-14,seed-sample: story-research 2026-08-14 적재,funny|dramatic,just_because,꽃 한 뿌리 = 황소 4마리 + 돼지 8마리 + 침대 + 은잔,wiki
story-tulip-broken-virus,tulip-white,가장 비쌌던 무늬는 병이었습니다,"튤립 광풍 때 사람들이 미쳐 있던 건 불꽃처럼 번지는 줄무늬 튤립이었어요. 그 무늬가 왜 생기는지는 아무도 몰랐고, 흙을 바꾸고 별짓을 다 해봤죠. 정답은 1928년 도로시 케일리가 밝혀냈어요. 바이러스였어요. 그 바이러스가 구근을 조금씩 약하게 만들어서, 셈페르 아우구스투스도 바이스로이도 지금은 그림으로만 남아 있어요.",netherlands,17c-20c,Tulip breaking virus (Wikipedia),https://en.wikipedia.org/wiki/Tulip_breaking_virus,repeated,history,2026-08-14,seed-sample: story-research 2026-08-14 적재,dramatic|tragic|mythic,,세상에서 제일 비쌌던 꽃은 병에 걸린 꽃이었습니다,wiki
story-tulip-clusius-theft,tulip-white,도둑이 만든 산업,"식물학자 클루시위스는 1593년 레이던 대학 정원에 튤립을 심었어요. 나눠 달라는 부탁은 대부분 거절했죠. 그러자 1596년과 1598년, 두 번에 걸쳐 정원에서 백 뿌리 넘는 구근이 도둑맞았어요. 네덜란드 튤립 산업은 사실상 그 도둑들 손에서 시작됐다고 해도 과언이 아니에요.",netherlands,16c,Tulip (Wikipedia),https://en.wikipedia.org/wiki/Tulip,repeated,history,2026-08-14,seed-sample: story-research 2026-08-14 적재,funny|dramatic,just_because,세계 최대 튤립 산업은 절도 사건에서 시작됐습니다,wiki
story-tulip-lale-devri,tulip-white,튤립의 시대,"오스만 제국에는 아예 '튤립 시대'라고 불리는 12년(1718~1730)이 있었어요. 궁정도 귀족도 튤립에 빠졌고, 값이 너무 뛰어서 조정이 공식 가격표를 만들어 단속해야 할 정도였어요. 아랍 문자로 쓴 랄레(튤립)가 알라와 같은 글자로 이뤄져 있어서, 이 꽃은 신성한 상징으로도 여겨졌어요. 이 화려한 시대는 1730년 반란으로 끝나고, 술탄은 자리에서 물러났어요.",turkey,18c,Tulip period (Wikipedia),https://en.wikipedia.org/wiki/Tulip_period,repeated,history,2026-08-14,seed-sample: story-research 2026-08-14 적재,mythic|dramatic,,나라 이름 대신 꽃 이름으로 불리는 시대가 있었습니다,wiki
story-tulip-black-dumas,tulip-white,감옥에서 검은 튤립을 키운 남자,"뒤마의 1850년 소설 『검은 튤립』에서 하를럼 원예협회는 검은 튤립을 피워내는 사람에게 10만 프랑을 걸었어요. 주인공 코르넬리위스는 정치적 누명을 쓰고 종신형을 받지만, 감옥에까지 구근을 들고 가요. 그리고 간수의 딸 로자가 대신 그 꽃을 키워 줘요. 그가 잃은 건 자유였고, 지킨 건 꽃 한 송이와 그 꽃을 함께 지켜준 사람이었어요.",netherlands-france,19c,The Black Tulip (Wikipedia),https://en.wikipedia.org/wiki/The_Black_Tulip,repeated,literary,2026-08-14,seed-sample: story-research 2026-08-14 적재,romantic|dramatic,comfort|confession,종신형을 받고도 그가 감옥에 챙겨간 것,wiki
