rule_id,relationship_type,intent,occasion,apology_level,aesthetic_tags,budget_range,urgency,flower_id,fit_score,avoid_reason,note
rule-001,lover,confession,,,romantic|classic,2-3,normal,rose-red,92,,seed-sample: 고백 상황의 기본값
rule-002,crush,confession,,,light|fresh,1-2,normal,freesia,78,,seed-sample: 부담을 덜고 싶을 때
rule-003,lover,apology,after-argument,3,minimal|clean,2-3,urgent,tulip-white,88,,seed-sample: 용서를 구하는 자리
rule-004,friend,gratitude,,,fresh|light,1-2,normal,freesia,85,,seed-sample: 편안한 감사 표현
rule-005,colleague,gratitude,job-change,,casual|round,1-2,normal,gerbera,84,,seed-sample: 직장 관계의 무난한 선택
rule-006,lover,apology,after-argument,3,,2-3,normal,lily-asiatic,,향이 강하고 장례 연상 가능,seed-sample: 회피 규칙
rule-007,lover,apology,after-argument,2,elegant|calm,2-3,normal,hyacinth,72,,seed-sample: 용서를 구하는 꽃으로 전해지는 히아신스 - 아폴론 설화(apology 이야기)와 연결. 향 강해 향 민감 시 exclude가 거름
rule-100,lover,anniversary,,,,2-3,normal,rose-red,90,,meanings [red] 열정적인 사랑과 깊은 애정(western/victorian·repeated) · story-rose-aphrodite·story-rose-cleopatra-carpet·story-rose-thornless-korea 세 편 모두 intents 에 anniversary
rule-101,,anniversary,,,,2-3,normal,rose-red,88,,rule-100 과 같은 근거 · 배우자 쪽은 고백 설화가 아니라 함께 지나온 시간이 중심이라 lover 보다 한 칸 낮춤 · 병합 감사에서 relationship 비움(근거가 결혼·부부를 말하지 않음)
rule-102,,apology,after-argument,,,2-3,normal,tulip-white,84,,meanings [white] 용서를 구하는 마음과 새로운 시작(korea/modern·varies) · rule-003(lover/apology 88) 과 같은 근거인데 국내 해석이라 영어권 자료와 갈려 한 칸 낮춤 · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-103,,apology,,,,2-3,normal,tulip-white,78,,rule-102 와 같은 꽃말 근거 · 친구 사이 사과는 격식이 덜해 낮춤 · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-104,,celebration,job-change,,,2-3,normal,tulip-white,80,,meanings [white] 새로운 시작 봄의 설렘(korea/modern·single_source) 과 [white] 용서를 구하는 마음과 새로운 시작(korea/modern·varies) 두 행이 새로운 시작에서 겹침 · 병합 감사에서 relationship 비움(근거가 상황만 말하고 직장 관계를 말하지 않음)
rule-105,,celebration,graduation,,,1-2,normal,freesia,90,,story-freesia-graduation-korea(농촌진흥청 출하 시기가 졸업 시즌과 정확히 겹침) · story-freesia-korea-cultivar-share·story-freesia-jeonbuk-heartland·story-freesia-scent-measured-korea 모두 celebration · 병합 감사에서 relationship 비움(졸업 관행은 주는 사람을 가리지 않음)
rule-106,,celebration,job-change,,,1-2,normal,freesia,80,,meanings [yellow] 새로운 시작과 변함없는 우정(global/modern) · story-freesia-cape-journey(celebration) · 졸업만큼 굳은 관행은 아니라 rule-105 보다 크게 낮춤 · 병합 감사에서 relationship 비움(꽃말이 말하는 것은 우정이지 직장 관계가 아님)
rule-107,,celebration,,,,1-2,normal,gerbera,86,,story-gerbera-korea-wreath(국내 절화 거래량 상위이고 축하 화환에 가장 자주 꽂히는 꽃) · story-gerbera-korea-cultivar(celebration) · 향이 0 이라 자리를 가리지 않음 · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-108,,celebration,new-business,,,1-2,normal,gerbera,84,,story-gerbera-korea-wreath·story-krwreath-three-tier 둘 다 개업 화환 · rule-005(colleague/gratitude 84) 와 같은 눈금에 둠 · 병합 감사에서 relationship 비움(화환 이야기는 놓이는 자리만 말하고 보내는 사람을 말하지 않음 — 보내는 쪽까지 적은 rule-170 과 갈림)
rule-109,,comfort,,,,1-2,normal,gerbera,78,,meanings [pink] 언제나 곁에 있는 밝은 응원(global/modern) · story-gerbera-neck-bend·story-gerbera-25000-tries 둘 다 comfort · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-110,,comfort,,,,2-3,normal,anemone,76,,story-anemone-windflower·story-anemone-lilies-of-the-field·story-anemone-ancient-woodland 모두 comfort · meanings 바람이 데려간 사랑(greece-rome/ancient·repeated) · 병합 감사에서 relationship 비움(근거가 관계를 말하지 않음)
rule-111,,apology,,,,2-3,normal,anemone,70,,story-anemone-adonis-blood 의 intents 에 apology · meanings [white] 거짓 없는 진심(japan/modern·single_source) · 단일 출처라 낮게 잡음 · 병합 감사에서 relationship 비움(아도니스 설화는 연인을 잃은 애도지 연인 사이 전반을 말하지 않음)
